,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5786,1955.04.13.R,Unprovoked,Unknown,,,Unspecified,Reported 13-Apr-1955,Apr,N,F,,1991.5833443275412,25.0
5787,1955.04.12,Unprovoked,Unknown,,,Unspecified,12-Apr-1955,Apr,N,M,,1991.5833443275412,25.0
5788,1955.04.00,Unprovoked,Unknown,,,Unspecified,Apr-1955,,N,M,,1991.5833443275412,25.0
5789,1955.03.09,Unprovoked,Unknown,,,Unspecified,09-Mar-1955,Mar,Y,F,,1991.5833443275412,25.0
5790,1955.03.00.b,Unprovoked,Unknown,,,Unspecified,Mar-1955,,N,M,,1991.5833443275412,25.0
5791,1955.03.00.a,Unprovoked,Unknown,,,Unspecified,Mar-1955,,N,M,,1991.5833443275412,25.0
5792,1955.02.10,Unprovoked,Unknown,,,Unspecified,10-Feb-1955,Feb,N,M,,1991.5833443275412,25.0
5793,1955.02.06,Unprovoked,Unknown,,,Unspecified,06-Feb-1955,Feb,N,F,,1991.5833443275412,25.0
5794,1955.02.05,Unprovoked,Unknown,,,Unspecified,05-Feb-1955,Feb,Y,F,,1991.5833443275412,25.0
5795,1955.02.04,Unprovoked,Unknown,,,Unspecified,04-Feb-1955,Feb,N,F,,1991.5833443275412,25.0
5796,1955.02.01.,Unprovoked,Unknown,,,Unspecified,01-Feb-1955,Feb,N,M,,1991.5833443275412,25.0
5797,1955.02.00,Unprovoked,Unknown,,,Unspecified,Feb-1955,,N,F,,1991.5833443275412,25.0
5798,1955.01.17,Unprovoked,Unknown,,,Unspecified,17-Jan-1955,Jan,Y,M,,1991.5833443275412,25.0
5799,1955.01.15,Unprovoked,Unknown,,,Unspecified,15-Jan-1955,Jan,Y,F,,1991.5833443275412,25.0
5800,1955.00.00.f,Unprovoked,Unknown,,,Unspecified,1955,,Unknown,M,,1991.5833443275412,25.0
5801,1955.00.00.d,Unprovoked,Unknown,,,Unspecified,1955,,N,M,,1991.5833443275412,25.0
5802,1955.00.00.e,Unprovoked,Unknown,,,Unspecified,1955,,Y,M,,1991.5833443275412,25.0
